receipt_id,dc_id,item_id,receipt_date,received_qty,receipt_type,is_late,is_partial,po_number
REC_000001,DC_WEST,4900005010,2024-01-19,204.0,SUPPLIER_DELIVERY,False,False,PO_20240115_DC_WEST_0003
REC_000002,DC_EAST,2840016014,2024-01-22,456.0,SUPPLIER_DELIVERY,False,False,PO_20240115_DC_EAST_0001
REC_000003,DC_WEST,2840016014,2024-01-22,204.0,SUPPLIER_DELIVERY,False,False,PO_20240115_DC_WEST_0002
REC_000004,DC_EAST,4900005010,2024-01-25,534.0,SUPPLIER_DELIVERY,False,False,PO_20240122_DC_EAST_0005
REC_000005,DC_EAST,1200080994,2024-01-26,424.0,SUPPLIER_DELIVERY,False,False,PO_20240122_DC_EAST_0004
REC_000006,DC_WEST,1200080994,2024-01-26,232.0,SUPPLIER_DELIVERY,False,False,PO_20240122_DC_WEST_0006
REC_000007,DC_WEST,1200080994,2024-02-01,248.0,SUPPLIER_DELIVERY,False,False,PO_20240129_DC_WEST_0008
REC_000008,DC_WEST,2840016014,2024-02-02,204.0,SUPPLIER_DELIVERY,False,False,PO_20240129_DC_WEST_0009
REC_000009,DC_WEST,4900005010,2024-02-03,246.0,SUPPLIER_DELIVERY,False,False,PO_20240129_DC_WEST_0010
REC_000010,DC_EAST,1200080994,2024-02-04,520.0,SUPPLIER_DELIVERY,False,False,PO_20240129_DC_EAST_0007
REC_000011,DC_WEST,1200080994,2024-02-08,552.0,SUPPLIER_DELIVERY,False,False,PO_20240205_DC_WEST_0014
REC_000012,DC_WEST,4900005010,2024-02-08,480.0,SUPPLIER_DELIVERY,False,False,PO_20240205_DC_WEST_0016
REC_000013,DC_EAST,2840016014,2024-02-09,562.0,SUPPLIER_DELIVERY,False,True,PO_20240205_DC_EAST_0012
REC_000014,DC_WEST,2840016014,2024-02-09,288.0,SUPPLIER_DELIVERY,False,False,PO_20240205_DC_WEST_0015
REC_000015,DC_EAST,1200080994,2024-02-11,1112.0,SUPPLIER_DELIVERY,False,False,PO_20240205_DC_EAST_0011
REC_000016,DC_EAST,2840016014,2024-02-12,338.0,SUPPLIER_DELIVERY,False,False,PO_20240205_DC_EAST_0012
REC_000017,DC_EAST,4900005010,2024-02-12,1032.0,SUPPLIER_DELIVERY,False,False,PO_20240205_DC_EAST_0013
