store_id,item_id,so_number,delivery_date,delivered_qty,unfilled_qty,delivery_status,order_qty
STR_E01,1200080994,SO_20240101_STR_E01_0001,2024-01-03,66.0,0.0,FULL_DELIVERY,66.0
STR_E01,2840016014,SO_20240101_STR_E01_0001,2024-01-03,109.0,0.0,FULL_DELIVERY,109.0
STR_E01,4900005010,SO_20240101_STR_E01_0001,2024-01-03,70.0,0.0,FULL_DELIVERY,70.0
STR_E02,2840016014,SO_20240101_STR_E02_0002,2024-01-03,93.0,0.0,FULL_DELIVERY,93.0
STR_W01,2840016014,SO_20240101_STR_W01_0003,2024-01-03,89.0,0.0,FULL_DELIVERY,89.0
STR_W01,4900005010,SO_20240101_STR_W01_0003,2024-01-03,84.0,0.0,FULL_DELIVERY,84.0
STR_E02,1200080994,SO_20240108_STR_E02_0004,2024-01-10,98.0,0.0,FULL_DELIVERY,98.0
STR_E02,4900005010,SO_20240108_STR_E02_0004,2024-01-10,117.0,0.0,FULL_DELIVERY,117.0
STR_W01,1200080994,SO_20240108_STR_W01_0005,2024-01-10,100.0,0.0,FULL_DELIVERY,100.0
STR_E01,1200080994,SO_20240115_STR_E01_0006,2024-01-17,109.0,0.0,FULL_DELIVERY,109.0
STR_E01,4900005010,SO_20240115_STR_E01_0006,2024-01-17,97.0,0.0,FULL_DELIVERY,97.0
STR_E02,1200080994,SO_20240115_STR_E02_0007,2024-01-17,64.0,0.0,FULL_DELIVERY,64.0
STR_E02,2840016014,SO_20240115_STR_E02_0007,2024-01-17,99.0,0.0,FULL_DELIVERY,99.0
STR_W01,1200080994,SO_20240115_STR_W01_0008,2024-01-17,64.0,0.0,FULL_DELIVERY,64.0
STR_W01,4900005010,SO_20240115_STR_W01_0008,2024-01-17,99.0,0.0,FULL_DELIVERY,99.0
STR_W01,2840016014,SO_20240115_STR_W01_0008,2024-01-18,92.0,0.0,FULL_DELIVERY,92.0
STR_E01,2840016014,SO_20240115_STR_E01_0006,2024-01-19,82.0,0.0,FULL_DELIVERY,82.0
STR_E01,2840016014,SO_20240122_STR_E01_0009,2024-01-24,65.0,0.0,FULL_DELIVERY,65.0
STR_E01,4900005010,SO_20240122_STR_E01_0009,2024-01-24,76.0,0.0,FULL_DELIVERY,76.0
STR_E02,1200080994,SO_20240122_STR_E02_0010,2024-01-24,71.0,0.0,FULL_DELIVERY,71.0
