store_id,item_id,date,week,on_hand_qty,on_order_qty,inventory_status,woc
STR_E01,1200080994,2024-01-01,2024-W01,123.0,0.0,LOW,1.95
STR_E01,2840016014,2024-01-01,2024-W01,122.0,0.0,LOW,1.58
STR_E01,4900005010,2024-01-01,2024-W01,119.0,0.0,LOW,1.89
STR_E02,1200080994,2024-01-01,2024-W01,130.0,0.0,AVAILABLE,2.32
STR_E02,2840016014,2024-01-01,2024-W01,117.0,0.0,LOW,1.67
STR_E02,4900005010,2024-01-01,2024-W01,126.0,0.0,AVAILABLE,2.57
STR_W01,1200080994,2024-01-01,2024-W01,129.0,0.0,AVAILABLE,2.63
STR_W01,2840016014,2024-01-01,2024-W01,121.0,0.0,LOW,1.73
STR_W01,4900005010,2024-01-01,2024-W01,126.0,0.0,LOW,1.8
DC_EAST,1200080994,2024-01-01,2024-W01,579.0,0.0,AVAILABLE,
DC_EAST,2840016014,2024-01-01,2024-W01,557.0,0.0,AVAILABLE,
DC_EAST,4900005010,2024-01-01,2024-W01,560.0,0.0,AVAILABLE,
DC_WEST,1200080994,2024-01-01,2024-W01,292.0,0.0,AVAILABLE,
DC_WEST,2840016014,2024-01-01,2024-W01,281.0,0.0,AVAILABLE,
DC_WEST,4900005010,2024-01-01,2024-W01,290.0,0.0,AVAILABLE,
STR_E01,1200080994,2024-01-02,2024-W01,114.0,66.0,LOW,1.81
STR_E01,2840016014,2024-01-02,2024-W01,115.0,109.0,LOW,1.83
STR_E01,4900005010,2024-01-02,2024-W01,112.0,70.0,AVAILABLE,2.0
STR_E02,1200080994,2024-01-02,2024-W01,123.0,0.0,AVAILABLE,2.34
STR_E02,2840016014,2024-01-02,2024-W01,110.0,93.0,LOW,1.85
STR_E02,4900005010,2024-01-02,2024-W01,119.0,0.0,AVAILABLE,2.43
STR_W01,1200080994,2024-01-02,2024-W01,121.0,0.0,AVAILABLE,2.3
STR_W01,2840016014,2024-01-02,2024-W01,112.0,89.0,LOW,1.68
STR_W01,4900005010,2024-01-02,2024-W01,117.0,84.0,LOW,1.76
DC_EAST,1200080994,2024-01-02,2024-W01,513.0,0.0,AVAILABLE,
DC_EAST,2840016014,2024-01-02,2024-W01,355.0,0.0,AVAILABLE,
DC_EAST,4900005010,2024-01-02,2024-W01,490.0,0.0,AVAILABLE,
DC_WEST,1200080994,2024-01-02,2024-W01,292.0,0.0,AVAILABLE,
DC_WEST,2840016014,2024-01-02,2024-W01,192.0,0.0,AVAILABLE,
DC_WEST,4900005010,2024-01-02,2024-W01,206.0,0.0,AVAILABLE,
STR_E01,1200080994,2024-01-03,2024-W01,169.0,0.0,AVAILABLE,2.5
STR_E01,2840016014,2024-01-03,2024-W01,215.0,0.0,AVAILABLE,3.41
STR_E01,4900005010,2024-01-03,2024-W01,174.0,0.0,AVAILABLE,3.11
STR_E02,1200080994,2024-01-03,2024-W01,115.0,0.0,AVAILABLE,2.14
STR_E02,2840016014,2024-01-03,2024-W01,197.0,0.0,AVAILABLE,3.67
STR_E02,4900005010,2024-01-03,2024-W01,110.0,0.0,AVAILABLE,2.05
STR_W01,1200080994,2024-01-03,2024-W01,113.0,0.0,AVAILABLE,2.11
STR_W01,2840016014,2024-01-03,2024-W01,191.0,0.0,AVAILABLE,2.82
STR_W01,4900005010,2024-01-03,2024-W01,192.0,0.0,AVAILABLE,2.94
