store_id,item_id,date,week,demand_qty,sales_qty,lost_sales_qty,sales_amount
STR_E01,1200080994,2024-01-01,2024-W01,9.0,9.0,0.0,71.91
STR_E01,2840016014,2024-01-01,2024-W01,11.0,11.0,0.0,54.89
STR_E01,4900005010,2024-01-01,2024-W01,9.0,9.0,0.0,17.91
STR_E02,1200080994,2024-01-01,2024-W01,8.0,8.0,0.0,63.92
STR_E02,2840016014,2024-01-01,2024-W01,10.0,10.0,0.0,49.900000000000006
STR_E02,4900005010,2024-01-01,2024-W01,7.0,7.0,0.0,13.93
STR_W01,1200080994,2024-01-01,2024-W01,7.0,7.0,0.0,55.93
STR_W01,2840016014,2024-01-01,2024-W01,10.0,10.0,0.0,49.900000000000006
STR_W01,4900005010,2024-01-01,2024-W01,10.0,10.0,0.0,19.9
STR_E01,1200080994,2024-01-02,2024-W01,9.0,9.0,0.0,71.91
STR_E01,2840016014,2024-01-02,2024-W01,7.0,7.0,0.0,34.93
STR_E01,4900005010,2024-01-02,2024-W01,7.0,7.0,0.0,13.93
STR_E02,1200080994,2024-01-02,2024-W01,7.0,7.0,0.0,55.93
STR_E02,2840016014,2024-01-02,2024-W01,7.0,7.0,0.0,34.93
STR_E02,4900005010,2024-01-02,2024-W01,7.0,7.0,0.0,13.93
STR_W01,1200080994,2024-01-02,2024-W01,8.0,8.0,0.0,63.92
STR_W01,2840016014,2024-01-02,2024-W01,9.0,9.0,0.0,44.910000000000004
STR_W01,4900005010,2024-01-02,2024-W01,9.0,9.0,0.0,17.91
STR_E01,1200080994,2024-01-03,2024-W01,11.0,11.0,0.0,87.89
STR_E01,2840016014,2024-01-03,2024-W01,9.0,9.0,0.0,44.910000000000004
STR_E01,4900005010,2024-01-03,2024-W01,8.0,8.0,0.0,15.92
STR_E02,1200080994,2024-01-03,2024-W01,8.0,8.0,0.0,63.92
STR_E02,2840016014,2024-01-03,2024-W01,6.0,6.0,0.0,29.94
STR_E02,4900005010,2024-01-03,2024-W01,9.0,9.0,0.0,17.91
STR_W01,1200080994,2024-01-03,2024-W01,8.0,8.0,0.0,63.92
STR_W01,2840016014,2024-01-03,2024-W01,10.0,10.0,0.0,49.900000000000006
STR_W01,4900005010,2024-01-03,2024-W01,9.0,9.0,0.0,17.91
STR_E01,1200080994,2024-01-04,2024-W01,8.0,8.0,0.0,63.92
STR_E01,2840016014,2024-01-04,2024-W01,7.0,7.0,0.0,34.93
STR_E01,4900005010,2024-01-04,2024-W01,8.0,8.0,0.0,15.92
STR_E02,1200080994,2024-01-04,2024-W01,7.0,7.0,0.0,55.93
STR_E02,2840016014,2024-01-04,2024-W01,10.0,10.0,0.0,49.900000000000006
STR_E02,4900005010,2024-01-04,2024-W01,10.0,10.0,0.0,19.9
STR_W01,1200080994,2024-01-04,2024-W01,9.0,9.0,0.0,71.91
STR_W01,2840016014,2024-01-04,2024-W01,10.0,10.0,0.0,49.900000000000006
STR_W01,4900005010,2024-01-04,2024-W01,8.0,8.0,0.0,15.92
STR_E01,1200080994,2024-01-05,2024-W01,8.0,8.0,0.0,63.92
STR_E01,2840016014,2024-01-05,2024-W01,8.0,8.0,0.0,39.92
STR_E01,4900005010,2024-01-05,2024-W01,8.0,8.0,0.0,15.92
STR_E02,1200080994,2024-01-05,2024-W01,8.0,8.0,0.0,63.92
STR_E02,2840016014,2024-01-05,2024-W01,7.0,7.0,0.0,34.93
STR_E02,4900005010,2024-01-05,2024-W01,9.0,9.0,0.0,17.91
STR_W01,1200080994,2024-01-05,2024-W01,9.0,9.0,0.0,71.91
