supplier_id,item_id
SUP_001,2840016014
SUP_001,2840016020
SUP_001,2840016019
SUP_001,2840016015
SUP_001,2840016012
SUP_001,2840016013
SUP_001,2840016018
SUP_001,2840016053
SUP_001,2840015010
SUP_001,2840014996
SUP_001,2840016088
SUP_001,2840015636
SUP_001,2840015607
SUP_001,2840015297
SUP_001,2840015692
SUP_001,2840015637
SUP_001,2840001775
SUP_001,2840015298
SUP_001,2840006408
SUP_001,2840006399
SUP_001,2840008314
SUP_001,2840003633
SUP_001,2840008313
SUP_001,2840006404
SUP_001,2840006405
SUP_001,2840005160
SUP_001,2840006406
SUP_001,1200080994
SUP_001,1200080995
SUP_001,1200080996
SUP_001,1200081009
SUP_001,1200080999
SUP_001,1200003068
SUP_001,1200081017
SUP_001,1200022716
SUP_001,1200080997
SUP_001,1200000826
SUP_001,1200081014
SUP_001,1200000841
SUP_001,1200001879
SUP_001,1200081002
SUP_001,1200000230
SUP_001,1200000113
SUP_001,1200000231
SUP_001,1200000496
SUP_001,1200000233
SUP_001,1200000132
SUP_001,1200000341
SUP_001,1200015805
SUP_001,1200000311
SUP_001,1200000492
SUP_001,1200020123
SUP_001,1200000746
SUP_001,1200000935
SUP_002,4900002890
SUP_002,4900002891
SUP_002,4900002892
SUP_002,4900004255
SUP_002,4900002934
SUP_002,7297900416
SUP_002,4900003711
SUP_002,4900003073
SUP_002,4900004751
SUP_002,4900003105
SUP_002,4900003103
SUP_002,4900002933
SUP_002,4900003637
SUP_002,4900005010
SUP_002,4900005011
SUP_002,4900005015
SUP_002,4900005013
SUP_002,4900005014
SUP_002,4900005017
SUP_002,7297900418
SUP_002,4900005025
SUP_002,4900005028
SUP_003,7800015216
SUP_003,7800014816
SUP_003,7800015246
SUP_003,7800014846
SUP_003,7800020616
SUP_003,7800001135
SUP_003,7800021416
SUP_003,7800001133
SUP_003,7800020716
SUP_003,7800020646
SUP_005,7260000662
SUP_005,7260000680
SUP_005,7260000661
SUP_005,7260000928
SUP_006,4126228140
SUP_006,4126228148
SUP_006,4126228149
SUP_006,4126228143
SUP_006,4126228141
SUP_006,4126228469
SUP_006,4126228144
SUP_007,7797508822
SUP_007,7797508006
SUP_007,7797508003
SUP_007,7797508007
SUP_007,7797508004
SUP_007,7797503403
SUP_007,7797503405
SUP_014,4119004006
SUP_014,4119057208
SUP_014,4119004540
