promo_name,store_id
LAYS_BOGO_SUPER_BOWL_2024,STR_E01
LAYS_BOGO_SUPER_BOWL_2024,STR_E02
LAYS_BOGO_SUPER_BOWL_2024,STR_E03
LAYS_BOGO_SUPER_BOWL_2024,STR_E04
LAYS_BOGO_SUPER_BOWL_2024,STR_E05
LAYS_BOGO_SUPER_BOWL_2024,STR_W01
LAYS_BOGO_SUPER_BOWL_2024,STR_W02
LAYS_BOGO_SUPER_BOWL_2024,STR_W03
LAYS_BOGO_SUPER_BOWL_2024,STR_W04
LAYS_BOGO_SUPER_BOWL_2024,STR_W05
LAYS_BOGO_EASTER_2024,STR_E01
LAYS_BOGO_EASTER_2024,STR_E02
LAYS_BOGO_EASTER_2024,STR_E03
LAYS_BOGO_EASTER_2024,STR_E04
LAYS_BOGO_EASTER_2024,STR_E05
LAYS_BOGO_EASTER_2024,STR_W01
LAYS_BOGO_EASTER_2024,STR_W02
LAYS_BOGO_EASTER_2024,STR_W03
LAYS_BOGO_EASTER_2024,STR_W04
LAYS_BOGO_EASTER_2024,STR_W05
LAYS_BOGO_MEMORIAL_DAY_2024,STR_E01
LAYS_BOGO_MEMORIAL_DAY_2024,STR_E02
LAYS_BOGO_MEMORIAL_DAY_2024,STR_E03
LAYS_BOGO_MEMORIAL_DAY_2024,STR_E04
LAYS_BOGO_MEMORIAL_DAY_2024,STR_E05
LAYS_BOGO_MEMORIAL_DAY_2024,STR_W01
LAYS_BOGO_MEMORIAL_DAY_2024,STR_W02
LAYS_BOGO_MEMORIAL_DAY_2024,STR_W03
LAYS_BOGO_MEMORIAL_DAY_2024,STR_W04
LAYS_BOGO_MEMORIAL_DAY_2024,STR_W05
LAYS_BOGO_JULY4_2024,STR_E01
LAYS_BOGO_JULY4_2024,STR_E02
LAYS_BOGO_JULY4_2024,STR_E03
LAYS_BOGO_JULY4_2024,STR_E04
LAYS_BOGO_JULY4_2024,STR_E05
LAYS_BOGO_JULY4_2024,STR_W01
LAYS_BOGO_JULY4_2024,STR_W02
LAYS_BOGO_JULY4_2024,STR_W03
LAYS_BOGO_JULY4_2024,STR_W04
LAYS_BOGO_JULY4_2024,STR_W05
LAYS_BOGO_BACK_TO_SCHOOL_2024,STR_E01
LAYS_BOGO_BACK_TO_SCHOOL_2024,STR_E02
LAYS_BOGO_BACK_TO_SCHOOL_2024,STR_E03
LAYS_BOGO_BACK_TO_SCHOOL_2024,STR_E04
LAYS_BOGO_BACK_TO_SCHOOL_2024,STR_E05
LAYS_BOGO_BACK_TO_SCHOOL_2024,STR_W01
LAYS_BOGO_BACK_TO_SCHOOL_2024,STR_W02
LAYS_BOGO_BACK_TO_SCHOOL_2024,STR_W03
LAYS_BOGO_BACK_TO_SCHOOL_2024,STR_W04
LAYS_BOGO_BACK_TO_SCHOOL_2024,STR_W05
LAYS_BOGO_LABOR_DAY_2024,STR_E01
LAYS_BOGO_LABOR_DAY_2024,STR_E02
LAYS_BOGO_LABOR_DAY_2024,STR_E03
LAYS_BOGO_LABOR_DAY_2024,STR_E04
LAYS_BOGO_LABOR_DAY_2024,STR_E05
LAYS_BOGO_LABOR_DAY_2024,STR_W01
LAYS_BOGO_LABOR_DAY_2024,STR_W02
LAYS_BOGO_LABOR_DAY_2024,STR_W03
LAYS_BOGO_LABOR_DAY_2024,STR_W04
LAYS_BOGO_LABOR_DAY_2024,STR_W05
LAYS_BOGO_THANKSGIVING_2024,STR_E01
LAYS_BOGO_THANKSGIVING_2024,STR_E02
LAYS_BOGO_THANKSGIVING_2024,STR_E03
LAYS_BOGO_THANKSGIVING_2024,STR_E04
LAYS_BOGO_THANKSGIVING_2024,STR_E05
LAYS_BOGO_THANKSGIVING_2024,STR_W01
LAYS_BOGO_THANKSGIVING_2024,STR_W02
LAYS_BOGO_THANKSGIVING_2024,STR_W03
LAYS_BOGO_THANKSGIVING_2024,STR_W04
LAYS_BOGO_THANKSGIVING_2024,STR_W05
LAYS_BOGO_CHRISTMAS_2024,STR_E01
LAYS_BOGO_CHRISTMAS_2024,STR_E02
LAYS_BOGO_CHRISTMAS_2024,STR_E03
LAYS_BOGO_CHRISTMAS_2024,STR_E04
LAYS_BOGO_CHRISTMAS_2024,STR_E05
LAYS_BOGO_CHRISTMAS_2024,STR_W01
LAYS_BOGO_CHRISTMAS_2024,STR_W02
LAYS_BOGO_CHRISTMAS_2024,STR_W03
LAYS_BOGO_CHRISTMAS_2024,STR_W04
LAYS_BOGO_CHRISTMAS_2024,STR_W05
WISE_2FOR5_SUPER_BOWL_2024,STR_E01
WISE_2FOR5_SUPER_BOWL_2024,STR_E02
WISE_2FOR5_SUPER_BOWL_2024,STR_E03
WISE_2FOR5_SUPER_BOWL_2024,STR_E04
WISE_2FOR5_SUPER_BOWL_2024,STR_E05
WISE_2FOR5_SUPER_BOWL_2024,STR_W01
WISE_2FOR5_SUPER_BOWL_2024,STR_W02
WISE_2FOR5_SUPER_BOWL_2024,STR_W03
WISE_2FOR5_SUPER_BOWL_2024,STR_W04
WISE_2FOR5_SUPER_BOWL_2024,STR_W05
WISE_2FOR5_MEMORIAL_DAY_2024,STR_E01
WISE_2FOR5_MEMORIAL_DAY_2024,STR_E02
WISE_2FOR5_MEMORIAL_DAY_2024,STR_E03
WISE_2FOR5_MEMORIAL_DAY_2024,STR_E04
WISE_2FOR5_MEMORIAL_DAY_2024,STR_E05
WISE_2FOR5_MEMORIAL_DAY_2024,STR_W01
WISE_2FOR5_MEMORIAL_DAY_2024,STR_W02
WISE_2FOR5_MEMORIAL_DAY_2024,STR_W03
WISE_2FOR5_MEMORIAL_DAY_2024,STR_W04
WISE_2FOR5_MEMORIAL_DAY_2024,STR_W05
WISE_2FOR5_JULY4_2024,STR_E01
WISE_2FOR5_JULY4_2024,STR_E02
WISE_2FOR5_JULY4_2024,STR_E03
WISE_2FOR5_JULY4_2024,STR_E04
