po_number,dc_id,supplier_id,order_date,expected_date
PO_20240122_DC_EAST_0001,DC_EAST,SUP_001,2024-01-22,2024-01-29
PO_20240122_DC_EAST_0002,DC_EAST,SUP_001,2024-01-22,2024-01-29
PO_20240122_DC_EAST_0003,DC_EAST,SUP_001,2024-01-22,2024-01-26
PO_20240122_DC_WEST_0004,DC_WEST,SUP_001,2024-01-22,2024-01-28
PO_20240122_DC_WEST_0005,DC_WEST,SUP_001,2024-01-22,2024-01-25
PO_20240122_DC_WEST_0006,DC_WEST,SUP_001,2024-01-22,2024-01-28
PO_20240129_DC_EAST_0007,DC_EAST,SUP_001,2024-01-29,2024-02-02
PO_20240129_DC_WEST_0008,DC_WEST,SUP_001,2024-01-29,2024-02-04
PO_20240205_DC_EAST_0009,DC_EAST,SUP_001,2024-02-05,2024-02-11
PO_20240205_DC_EAST_0010,DC_EAST,SUP_001,2024-02-05,2024-02-08
PO_20240205_DC_EAST_0011,DC_EAST,SUP_001,2024-02-05,2024-02-09
PO_20240205_DC_WEST_0012,DC_WEST,SUP_001,2024-02-05,2024-02-12
PO_20240205_DC_WEST_0013,DC_WEST,SUP_001,2024-02-05,2024-02-08
PO_20240205_DC_WEST_0014,DC_WEST,SUP_001,2024-02-05,2024-02-12
PO_20240318_DC_WEST_0015,DC_WEST,SUP_001,2024-03-18,2024-03-24
PO_20240325_DC_EAST_0016,DC_EAST,SUP_001,2024-03-25,2024-04-01
PO_20240325_DC_EAST_0017,DC_EAST,SUP_001,2024-03-25,2024-03-29
PO_20240325_DC_WEST_0018,DC_WEST,SUP_001,2024-03-25,2024-04-01
