receipt_id,store_id,item_id,receipt_date,received_qty,unfilled_qty,receipt_type,so_number
SR_000001,STR_E01,2840016014,2024-01-02,148.0,0.0,FULL,SO_20240101_STR_E01_0001
SR_000001,STR_E01,1200080994,2024-01-09,239.0,0.0,FULL,SO_20240108_STR_E01_0002
SR_000001,STR_E01,4900005010,2024-01-09,163.0,0.0,FULL,SO_20240108_STR_E01_0002
SR_000001,STR_E02,1200080994,2024-01-09,189.0,0.0,FULL,SO_20240108_STR_E02_0003
SR_000001,STR_E02,2840016014,2024-01-09,153.0,0.0,FULL,SO_20240108_STR_E02_0003
SR_000001,STR_E02,4900005010,2024-01-09,187.0,0.0,FULL,SO_20240108_STR_E02_0003
SR_000001,STR_W01,1200080994,2024-01-09,198.0,0.0,FULL,SO_20240108_STR_W01_0004
SR_000001,STR_W01,2840016014,2024-01-09,148.0,0.0,FULL,SO_20240108_STR_W01_0004
SR_000001,STR_W01,4900005010,2024-01-09,181.0,0.0,FULL,SO_20240108_STR_W01_0004
SR_000001,STR_E01,1200080994,2024-01-23,215.0,0.0,FULL,SO_20240122_STR_E01_0005
SR_000001,STR_E01,2840016014,2024-01-23,163.0,0.0,FULL,SO_20240122_STR_E01_0005
SR_000001,STR_E01,4900005010,2024-01-23,232.0,0.0,FULL,SO_20240122_STR_E01_0005
SR_000001,STR_E02,1200080994,2024-01-23,273.0,0.0,FULL,SO_20240122_STR_E02_0006
SR_000001,STR_E02,2840016014,2024-01-23,171.0,0.0,FULL,SO_20240122_STR_E02_0006
SR_000001,STR_W01,1200080994,2024-01-23,257.0,0.0,FULL,SO_20240122_STR_W01_0007
SR_000001,STR_W01,2840016014,2024-01-23,154.0,0.0,FULL,SO_20240122_STR_W01_0007
SR_000001,STR_W01,4900005010,2024-01-23,213.0,0.0,FULL,SO_20240122_STR_W01_0007
SR_000001,STR_E02,4900005010,2024-01-24,193.0,0.0,FULL,SO_20240122_STR_E02_0006
SR_000001,STR_E01,1200080994,2024-01-30,318.0,0.0,FULL,SO_20240129_STR_E01_0008
SR_000001,STR_E01,4900005010,2024-01-30,190.0,0.0,FULL,SO_20240129_STR_E01_0008
SR_000001,STR_E02,1200080994,2024-01-30,331.0,0.0,FULL,SO_20240129_STR_E02_0009
SR_000001,STR_E02,4900005010,2024-01-30,230.0,0.0,FULL,SO_20240129_STR_E02_0009
SR_000001,STR_W01,1200080994,2024-01-30,332.0,0.0,FULL,SO_20240129_STR_W01_0010
SR_000001,STR_W01,4900005010,2024-01-30,204.0,0.0,FULL,SO_20240129_STR_W01_0010
SR_000001,STR_E01,1200080994,2024-02-06,668.0,0.0,FULL,SO_20240205_STR_E01_0011
SR_000001,STR_E01,2840016014,2024-02-06,326.0,0.0,FULL,SO_20240205_STR_E01_0011
SR_000001,STR_E01,4900005010,2024-02-06,446.0,0.0,FULL,SO_20240205_STR_E01_0011
SR_000001,STR_E02,1200080994,2024-02-06,740.0,0.0,FULL,SO_20240205_STR_E02_0012
SR_000001,STR_E02,2840016014,2024-02-06,321.0,0.0,FULL,SO_20240205_STR_E02_0012
SR_000001,STR_E02,4900005010,2024-02-06,108.0,0.0,FULL,SO_20240205_STR_E02_0012
SR_000001,STR_W01,1200080994,2024-02-06,687.0,0.0,FULL,SO_20240205_STR_W01_0013
SR_000001,STR_W01,2840016014,2024-02-06,310.0,0.0,FULL,SO_20240205_STR_W01_0013
