store_id,item_id,date,demand_qty,is_promo,week
STR_E01,1200080994,2024-01-01,18,False,2024-W01
STR_E01,1200080994,2024-01-02,18,False,2024-W01
STR_E01,1200080994,2024-01-03,21,False,2024-W01
STR_E01,1200080994,2024-01-04,16,False,2024-W01
STR_E01,1200080994,2024-01-05,16,False,2024-W01
STR_E01,1200080994,2024-01-06,15,False,2024-W01
STR_E01,1200080994,2024-01-07,16,False,2024-W01
STR_E01,1200080994,2024-01-08,19,False,2024-W02
STR_E01,1200080994,2024-01-09,18,False,2024-W02
STR_E01,1200080994,2024-01-10,16,False,2024-W02
STR_E01,1200080994,2024-01-11,15,False,2024-W02
STR_E01,1200080994,2024-01-12,17,False,2024-W02
STR_E01,1200080994,2024-01-13,15,False,2024-W02
STR_E01,1200080994,2024-01-14,19,False,2024-W02
STR_E01,1200080994,2024-01-15,15,False,2024-W03
STR_E01,1200080994,2024-01-16,18,False,2024-W03
STR_E01,1200080994,2024-01-17,16,False,2024-W03
STR_E01,1200080994,2024-01-18,15,False,2024-W03
STR_E01,1200080994,2024-01-19,15,False,2024-W03
STR_E01,1200080994,2024-01-20,16,False,2024-W03
STR_E01,1200080994,2024-01-21,15,False,2024-W03
STR_E01,1200080994,2024-01-22,19,False,2024-W04
STR_E01,1200080994,2024-01-23,16,False,2024-W04
STR_E01,1200080994,2024-01-24,14,False,2024-W04
STR_E01,1200080994,2024-01-25,18,False,2024-W04
STR_E01,1200080994,2024-01-26,16,False,2024-W04
STR_E01,1200080994,2024-01-27,22,False,2024-W04
STR_E01,1200080994,2024-01-28,76,True,2024-W04
STR_E01,1200080994,2024-01-29,70,True,2024-W05
STR_E01,1200080994,2024-01-30,71,True,2024-W05
STR_E01,1200080994,2024-01-31,61,True,2024-W05
STR_E01,1200080994,2024-02-01,60,True,2024-W05
STR_E01,1200080994,2024-02-02,73,True,2024-W05
STR_E01,1200080994,2024-02-03,60,True,2024-W05
STR_E01,1200080994,2024-02-04,55,True,2024-W05
STR_E01,1200080994,2024-02-05,54,True,2024-W06
STR_E01,1200080994,2024-02-06,36,True,2024-W06
STR_E01,1200080994,2024-02-07,33,True,2024-W06
STR_E01,1200080994,2024-02-08,23,True,2024-W06
STR_E01,1200080994,2024-02-09,19,False,2024-W06
STR_E01,1200080994,2024-02-10,23,False,2024-W06
STR_E01,1200080994,2024-02-11,14,False,2024-W06
STR_E01,1200080994,2024-02-12,14,False,2024-W07
STR_E01,1200080994,2024-02-13,21,False,2024-W07
STR_E01,1200080994,2024-02-14,14,False,2024-W07
STR_E01,1200080994,2024-02-15,19,False,2024-W07
STR_E01,1200080994,2024-02-16,16,False,2024-W07
STR_E01,1200080994,2024-02-17,16,False,2024-W07
STR_E01,1200080994,2024-02-18,23,False,2024-W07
STR_E01,1200080994,2024-02-19,18,False,2024-W08
STR_E01,1200080994,2024-02-20,12,False,2024-W08
STR_E01,1200080994,2024-02-21,21,False,2024-W08
STR_E01,1200080994,2024-02-22,20,False,2024-W08
STR_E01,1200080994,2024-02-23,17,False,2024-W08
STR_E01,1200080994,2024-02-24,15,False,2024-W08
STR_E01,1200080994,2024-02-25,17,False,2024-W08
STR_E01,1200080994,2024-02-26,16,False,2024-W09
