receipt_id,dc_id,item_id,receipt_date,received_qty,unfilled_qty,receipt_type,po_number
REC_000001,DC_WEST,2840016014,2024-01-25,348.0,0.0,FULL,PO_20240122_DC_WEST_0005
REC_000002,DC_EAST,4900005010,2024-01-26,852.0,0.0,FULL,PO_20240122_DC_EAST_0003
REC_000003,DC_WEST,1200080994,2024-01-28,468.0,0.0,FULL,PO_20240122_DC_WEST_0004
REC_000004,DC_WEST,4900005010,2024-01-28,432.0,0.0,FULL,PO_20240122_DC_WEST_0006
REC_000005,DC_EAST,1200080994,2024-01-29,944.0,0.0,FULL,PO_20240122_DC_EAST_0001
REC_000006,DC_EAST,2840016014,2024-01-29,538.0,194.0,PARTIAL,PO_20240122_DC_EAST_0002
REC_000007,DC_EAST,2840016014,2024-02-01,194.0,0.0,FULL,PO_20240122_DC_EAST_0002
REC_000008,DC_EAST,1200080994,2024-02-02,595.0,349.0,PARTIAL,PO_20240129_DC_EAST_0007
REC_000009,DC_WEST,1200080994,2024-02-04,484.0,0.0,FULL,PO_20240129_DC_WEST_0008
REC_000010,DC_EAST,1200080994,2024-02-05,349.0,0.0,FULL,PO_20240129_DC_EAST_0007
REC_000011,DC_EAST,2840016014,2024-02-08,960.0,0.0,FULL,PO_20240205_DC_EAST_0010
REC_000012,DC_WEST,2840016014,2024-02-08,237.0,207.0,PARTIAL,PO_20240205_DC_WEST_0013
REC_000013,DC_EAST,4900005010,2024-02-10,1650.0,0.0,FULL,PO_20240205_DC_EAST_0011
REC_000014,DC_EAST,1200080994,2024-02-11,2284.0,0.0,FULL,PO_20240205_DC_EAST_0009
REC_000015,DC_WEST,1200080994,2024-02-12,1096.0,0.0,FULL,PO_20240205_DC_WEST_0012
REC_000016,DC_WEST,2840016014,2024-02-12,207.0,0.0,FULL,PO_20240205_DC_WEST_0013
REC_000017,DC_WEST,4900005010,2024-02-12,656.0,196.0,PARTIAL,PO_20240205_DC_WEST_0014
REC_000018,DC_WEST,4900005010,2024-02-15,196.0,0.0,FULL,PO_20240205_DC_WEST_0014
REC_000019,DC_WEST,2840016014,2024-03-24,264.0,0.0,FULL,PO_20240318_DC_WEST_0015
REC_000020,DC_EAST,4900005010,2024-03-30,1038.0,0.0,FULL,PO_20240325_DC_EAST_0017
